id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1511492628831158272,1511492628831158272,2022-04-05 23:54:59 UTC,2022-04-05,23:54:59,+0000,1152503843080396802,amorekaina,rayna | kinda ia,,"waktu ke jogja tahun lalu sempet ngendarain motor, dan gw nyaman bgt sama jalanan jogja. mostly masyarakatnya taat trs jarang bgt denger klakson. tpi ini apa woy klitih berulah😡😡😡 bikin takut aja elah.",in,[],[],[],0,0,0,[],[],https://twitter.com/amorekaina/status/1511492628831158272,False,,0,,,,,,,,[],,,,
1511492597214494720,1511343117106036738,2022-04-05 23:54:52 UTC,2022-04-05,23:54:52,+0000,1209556063,vermeelo,Plastik Life,,"@TryLaksono @refrigerhater @mfajarsaa Klitih gegayaan doank, Son. Katanya inisiasi untuk jadi gede, ada-ada aja.",in,[],[],[],1,0,0,[],[],https://twitter.com/Vermeelo/status/1511492597214494720,False,,0,,,,,,,,"[{'screen_name': 'TryLaksono', 'name': 'Sony', 'id': '99519970'}, {'screen_name': 'refrigerhater', 'name': 'Hippoman 🦛', 'id': '132006668'}, {'screen_name': 'mfajarsaa', 'name': 'Jar', 'id': '1428026406'}]",,,,
1511492389235720192,1511111528111833091,2022-04-05 23:54:02 UTC,2022-04-05,23:54:02,+0000,4141400659,prd9993,vanko,,"@diffanyaaa Klitih udah ada dari dulu padahal, korban juga sudah banyak yang berjatuhan. Heran aja rasanya, kenapa kok baru sekarang pada bergerak ya?Sangat menghermankan sodara-sodara. Semoga adeknya Husnul khatimah",in,[],[],[],1,0,1,[],[],https://twitter.com/prd9993/status/1511492389235720192,False,,0,,,,,,,,"[{'screen_name': 'diffanyaaa', 'name': 'difa', 'id': '1186192901937590277'}]",,,,
1511492367215636482,1511155988228816898,2022-04-05 23:53:57 UTC,2022-04-05,23:53:57,+0000,1244766345650032640,lyraesteunoia,🎀,,"@jihoonjakmania @weebsminority_ @collegemenfess Benci banget bacain motif klitih demi Allah, innalillaahi ya Allah,",in,[],[],[],0,0,0,[],[],https://twitter.com/lyraesteunoia/status/1511492367215636482,False,,0,,,,,,,,"[{'screen_name': 'jihoonjakmania', 'name': 'ajeng 🏁', 'id': '1417478659431145482'}, {'screen_name': 'weebsminority_', 'name': 'AhtongMuthu_', 'id': '1239156437449752576'}, {'screen_name': 'collegemenfess', 'name': 'COLLE', 'id': '1046084008742801408'}]",,,,
1511492340548272128,1511492340548272128,2022-04-05 23:53:50 UTC,2022-04-05,23:53:50,+0000,2854669525,badakutil,ⓔⓢⓣⓗⓔⓡ 💎,,KLITIH ya njir bukan KLITHI kalo klithi itu bersihin tai kuping pake bulu ayam🙄,in,[],[],[],1,0,0,[],[],https://twitter.com/badakutil/status/1511492340548272128,False,,0,,,,,,,,[],,,,
1511492282801098753,1511492282801098753,2022-04-05 23:53:37 UTC,2022-04-05,23:53:37,+0000,111605105,ence_dwi,Ence,,"Sebagai kota pelajar, mgkin ada baiknya kampus2 di jogja pengadaan baju zirah aja daripada jas almamater utk mengantisipasi klitih.  https://t.co/Vo80nB62oy",in,[],[],['https://pbs.twimg.com/media/FPnmGyTaMAQNzqp.jpg'],16,145,491,[],[],https://twitter.com/ence_dwi/status/1511492282801098753,False,,1,https://pbs.twimg.com/media/FPnmGyTaMAQNzqp.jpg,,,,,,,[],,,,
1511492239389716480,1511155988228816898,2022-04-05 23:53:26 UTC,2022-04-05,23:53:26,+0000,192070958,sekarlp,Sekar,,@varioputihh @devliaon @collegemenfess Bener. Skrg lokasinya gabisa ditebak. Bbrp waktu lalu di Mlati jg ada klitih.,in,[],[],[],0,0,1,[],[],https://twitter.com/SekarLP/status/1511492239389716480,False,,0,,,,,,,,"[{'screen_name': 'varioputihh', 'name': 'Rabiil', 'id': '2556280944'}, {'screen_name': 'devliaon', 'name': 'Dev. ᥬ☃️᭄ b.a.c.k', 'id': '1386642517442007043'}, {'screen_name': 'collegemenfess', 'name': 'COLLE', 'id': '1046084008742801408'}]",,,,
1511492209102663680,1511492209102663680,2022-04-05 23:53:19 UTC,2022-04-05,23:53:19,+0000,1409316529548664835,sahaabatpickaw,Sahabat pickaw | Yin,,Mode GTA malam hari   Klitih meresahkan,in,[],[],[],0,0,0,[],[],https://twitter.com/SahaabatPickaw/status/1511492209102663680,False,https://twitter.com/Harian_Jogja/status/1510881247228096513,0,,,,,,,,[],,,,
1511492186302418946,1511292283588845569,2022-04-05 23:53:14 UTC,2022-04-05,23:53:14,+0000,1259718584575471617,curlystory66,Curly Story,,"@bebast_ when you're trying to be edgy about gun ownership but you just talking crap without showing the data fact about it and you don't even thinking about ""what will indonesian people do"" when they have a f gun. some indonesian have a f katana/golok now they're making a gang, klitih.",en,[],[],[],0,4,83,[],[],https://twitter.com/CurlyStory66/status/1511492186302418946,False,,0,,,,,,,,"[{'screen_name': 'bebast_', 'name': '🦅🐺🐍', 'id': '1345719884492066816'}]",,,,
1511492150348824576,1511402284093440000,2022-04-05 23:53:05 UTC,2022-04-05,23:53:05,+0000,239791274,bengongdongcoy,ikanhiu・ᴥ・,,@nugyuseo Kalo ga salah klitih kepanjangan dari kliling golek getih. Kaya cuma nhelukain orang gitu bun,in,[],[],[],0,0,0,[],[],https://twitter.com/bengongdongcoy/status/1511492150348824576,False,,0,,,,,,,,"[{'screen_name': 'nugyuseo', 'name': 'HAPPY MINGYU DAY❤️\u200d🔥', 'id': '1331659120298971136'}]",,,,
